coachID,year,tmID,stint,coach_changed,win_pct_vs_league,playoff_win_pct,eff_diff,def_four_factors,career_win_pct
meadoma99w,9,ATL,0,0,-0.37324929971988796,0.0,-0.15505276320101746,0.4169397682384379,0.11764705882352941
meadoma99w,10,ATL,0,0,0.0198719686385721,0.0,-0.005328753762180671,0.43692098375985733,0.3235294117647059
dunntr01wc,1,CHA,0,1,-0.24869791666666669,0.0,-0.10983666368074396,0.4135325793684598,0.25
donovan99w,2,CHA,0,0,0.04886924342105259,0.4999993750007813,0.06619535710372881,0.4380015543446874,0.421875
donovan99w,3,CHA,0,1,0.062090253496503545,0.0,0.07154578872355488,0.4319527583640583,0.46875
laceytr99w,4,CHA,0,0,0.005252100840336116,0.0,0.02458001901800677,0.43002241263306795,0.5294117647058824
laceytr99w,5,CHA,0,1,-0.03696429262040124,0.0,0.07738807529393887,0.425772114308941,0.5
boguemu01w,6,CHA,2,0,-0.22232277526395178,0.0,-0.14161994870068306,0.42463245056562354,0.3
boguemu01w,7,CHA,0,1,-0.16195569136745608,0.0,-0.0687303681085143,0.4367787327951558,0.3181818181818182
cowenda01w,7,CHI,0,1,-0.3384262796027502,0.0,-0.1839275332059167,0.41231215179888336,0.14705882352941177
overtbo99w,8,CHI,0,1,-0.09306184012066365,0.0,-0.05515074370838202,0.42528545755191083,0.4117647058823529
keyst99wc,9,CHI,0,0,-0.13795518207282914,0.0,0.03778743272161322,0.43106123118985795,0.35294117647058826
keyst99wc,10,CHI,0,0,-0.03895156077319262,0.0,0.01772155398523978,0.41475451748437697,0.4117647058823529
hugheda99w,1,CLE,0,0,0.032552083333333315,0.4999991666680556,-0.009701755890141106,0.43436084244393686,0.53125
hugheda99w,2,CLE,0,0,0.1738692434210526,0.3333322222259259,0.10756155601962014,0.4608100261498779,0.609375
hugheda99w,3,CLE,0,0,-0.18790974650349646,0.0,-0.02893633084472791,0.4301713793340938,0.5104166666666666
hugheda99w,4,CLE,0,1,-0.024159663865546244,0.3333322222259259,-0.01825280983755162,0.4390297118060599,0.5076923076923077
thibami99w,4,CON,0,0,0.005252100840336116,0.49999875000312505,-0.010804032371849237,0.43242595454548527,0.5294117647058824
thibami99w,5,CON,0,0,0.02185923679136348,0.6249992187509766,-0.01583957774153877,0.4378766032965444,0.5294117647058824
thibami99w,6,CON,0,0,0.24238310708898936,0.6249992187509766,0.15315696649029986,0.44401934014670574,0.6078431372549019
thibami99w,7,CON,0,0,0.27922077922077915,0.5999988000024,0.1852839839543936,0.45045461085266514,0.6470588235294118
thibami99w,8,CON,0,0,0.024585218702865785,0.3333322222259259,0.030429224103378782,0.43946102769763673,0.6235294117647059
thibami99w,9,CON,0,0,0.12675070028011204,0.3333322222259259,0.06420601759280964,0.4399890930292035,0.6225490196078431
thibami99w,10,CON,0,0,-0.03895156077319262,0.0,-0.07354323396537432,0.43375648935950134,0.6008403361344538
liebena01w,1,DET,0,1,-0.061197916666666685,0.0,-0.05607755234089762,0.42234457534072223,0.4375
willigr99w,2,DET,0,1,-0.2011307565789474,0.0,-0.13641995006851504,0.4216384793625999,0.3125
laimbbi01w,3,DET,2,0,-0.09131883741258734,0.0,-0.04052167207382884,0.43363373457970406,0.4090909090909091
laimbbi01w,4,DET,0,0,0.21113445378151263,0.7499990625011719,0.2262705560008591,0.4435441356292015,0.6071428571428571
laimbbi01w,5,DET,0,0,-0.007552527914518881,0.3333322222259259,-0.0066118786972901855,0.4361913644886998,0.5666666666666667
laimbbi01w,6,DET,0,0,-0.051734539969834126,0.0,-0.08505877654928007,0.45626892597988905,0.5403225806451613
laimbbi01w,7,DET,0,0,0.19098548510313218,0.6999993000007,0.03713355387720285,0.45423400284508764,0.569620253164557
laimbbi01w,8,DET,0,0,0.20105580693815994,0.5454540495872277,0.06993494033101166,0.4522360590326754,0.59375
laimbbi01w,9,DET,0,1,0.1561624649859944,0.7777769135812072,-0.00820776474234508,0.44511032629905223,0.6017699115044248
mahorri01w,10,DET,2,0,0.03884730070688325,0.5999988000024,-0.03658176694148474,0.4389729507011374,0.5483870967741935
chancva99w,1,HOU,0,0,0.3450520833333333,0.9999983333361112,0.2407107121178933,0.4539514125227383,0.84375
chancva99w,2,HOU,0,0,0.08011924342105259,0.0,0.013902666582052303,0.4525901301855395,0.71875
chancva99w,3,HOU,0,0,0.24959025349650354,0.3333322222259259,0.15897135198525714,0.4585810109429755,0.7291666666666666
chancva99w,4,HOU,0,0,0.06407563025210083,0.3333322222259259,0.11601756533006968,0.44650506977856197,0.6923076923076923
chancva99w,5,HOU,0,0,-0.12519958673804832,0.0,0.02513304258393223,0.4384137888828513,0.6280487804878049
chancva99w,6,HOU,0,0,0.03650075414781295,0.39999920000160005,0.03850951646090528,0.43567391247657195,0.6161616161616161
chancva99w,7,HOU,0,1,0.04392666157372038,0.0,0.09772534689121914,0.44668076930527917,0.603448275862069
thompka99w,8,HOU,0,0,-0.12247360482654601,0.0,-0.03201489064681251,0.4268789287923904,0.5
thompka99w,9,HOU,0,1,0.0091036414565826,0.0,-0.03487914920111512,0.43743248388395534,0.5
donovan99w,1,IND,0,1,-0.21744791666666669,0.0,-0.021883948897064798,0.42467357204006945,0.28125
fortnne99w,2,IND,0,0,-0.2011307565789474,0.0,-0.0026390341210260626,0.43088242110173663,0.3125
fortnne99w,3,IND,0,0,-0.00040974650349645536,0.3333322222259259,-0.022670516657745443,0.43241909695199965,0.40625
fortnne99w,4,IND,0,1,-0.0535714285714286,0.0,-0.0543486192815823,0.4260878328499445,0.42857142857142855
wintebr01w,5,IND,0,0,-0.0663760573262836,0.0,-0.11076478830240633,0.4404019161603018,0.4411764705882353
wintebr01w,6,IND,0,0,0.09532428355957767,0.49999875000312505,-0.07804438253376533,0.45056221237962374,0.5294117647058824
wintebr01w,7,IND,0,0,0.13216195569136746,0.0,0.002100592850724503,0.4507376930989828,0.5588235294117647
wintebr01w,8,IND,0,1,0.11282051282051286,0.4999991666680556,0.06323493746610565,0.4509904024588401,0.5735294117647058
dunnli99wc,9,IND,0,0,0.0091036414565826,0.3333322222259259,-0.020223818718359876,0.4443491766566825,0.38461538461538464
dunnli99wc,10,IND,0,0,0.13751902746210154,0.5999994000006,-0.0027116236102502356,0.4433114734016512,0.43902439024390244
coopemi01w,1,LAS,0,0,0.3763020833333333,0.49999875000312505,0.1307436553749477,0.46079656203059327,0.875
coopemi01w,2,LAS,0,0,0.3613692434210526,0.8571416326548106,0.11068712041443285,0.4458257036444755,0.875
coopemi01w,3,LAS,0,0,0.28084025349650354,0.9999983333361112,0.12918698948110707,0.45208603416475274,0.84375
coopemi01w,4,LAS,0,1,0.18172268907563027,0.5555549382722909,0.0350136465139359,0.446744832617657,0.8076923076923077
thompka99w,5,LAS,2,1,0.2781617577997668,0.3333322222259259,0.07892759464350996,0.45321085284817875,0.7857142857142857
bryanjo01w,6,LAS,2,0,0.14434389140271486,0.0,-0.06040915706230554,0.43548361157401827,0.6666666666666666
bryanjo01w,7,LAS,0,1,0.2498090145148969,0.39999920000160005,0.039421095229751346,0.449965661730815,0.725
coopemi01w,8,LAS,0,0,-0.21070889894419303,0.0,-0.12531606343627533,0.4292613032766035,0.7012195121951219
coopemi01w,9,LAS,0,0,0.09733893557422968,0.4999991666680556,0.06348615797014379,0.4520865518406024,0.6818181818181818
coopemi01w,10,LAS,0,0,0.0198719686385721,0.4999991666680556,0.01448380525692583,0.4415506819521583,0.6594827586206896
rothsro99w,1,MIA,0,0,-0.09244791666666669,0.0,-0.16178330324254064,0.44679134750415866,0.40625
rothsro99w,2,MIA,0,0,0.11136924342105259,0.3333322222259259,-0.028548343571916046,0.459547336442757,0.515625
rothsro99w,3,MIA,0,1,-0.031659746503496455,0.0,-0.1101728643517963,0.43340431365350546,0.5
aglerbr99w,1,MIN,0,0,-0.029947916666666685,0.0,-0.0468899604771571,0.4362546443334312,0.46875
aglerbr99w,2,MIN,0,1,-0.1386307565789474,0.0,0.028676240800259212,0.43780197110035407,0.421875
vandehe99w,3,MIN,2,1,-0.19271743881118875,0.0,-0.03591011481172579,0.4365649885456454,0.3076923076923077
mcconsu01w,4,MIN,0,0,0.005252100840336116,0.3333322222259259,0.056646331709765185,0.43228430829054637,0.5294117647058824
mcconsu01w,5,MIN,0,0,0.02185923679136348,0.0,0.028926016867727222,0.4513543415501431,0.5294117647058824
mcconsu01w,6,MIN,0,1,-0.11055806938159884,0.0,0.0029424984741563964,0.4352662347438143,0.49019607843137253
jenkica99w,7,MIN,2,1,-0.39457601222307104,0.0,-0.040823422762044315,0.41907272364664483,0.09090909090909091
zierddo99w,8,MIN,0,0,-0.21070889894419303,0.0,-0.13443794766139994,0.42329445457645676,0.29411764705882354
zierddo99w,9,MIN,0,1,-0.02030812324929976,0.0,-0.024199340460738572,0.43111074338495836,0.38235294117647056
gilloje01w,10,MIN,0,0,-0.09777509018495734,0.0,-0.040871663771707256,0.4172714178772652,0.4117647058823529
adubari99w,1,NYL,0,0,0.12630208333333331,0.571427755103207,0.06656657383131792,0.4444094328823483,0.625
adubari99w,2,NYL,0,0,0.1426192434210526,0.4999991666680556,-0.0009137129087917195,0.44345765399999415,0.640625
adubari99w,3,NYL,0,0,0.062090253496503545,0.4999993750007813,0.03785111195123725,0.4409747100762685,0.6145833333333334
adubari99w,4,NYL,0,1,-0.0535714285714286,0.0,0.014798693019696385,0.42814244374898075,0.5769230769230769
coylepa99w,5,NYL,2,0,0.10355858319659228,0.39999920000160005,0.06973452341441044,0.4322204132592791,0.6111111111111112
coylepa99w,6,NYL,0,0,0.007088989441930593,0.0,0.10947540563073166,0.43187594520328654,0.5576923076923077
coylepa99w,7,NYL,0,0,-0.16195569136745608,0.0,-0.08717993730914197,0.41745414729066666,0.46511627906976744
coylepa99w,8,NYL,0,0,-0.034238310708898934,0.3333322222259259,0.03114884874146462,0.4343458518363927,0.4666666666666667
coylepa99w,9,NYL,0,1,0.06792717086834732,0.4999991666680556,0.013437799079794033,0.4321966792695346,0.487012987012987
donovan99w,10,NYL,2,0,-0.09777509018495734,0.0,-0.016571806886358065,0.4328069131123884,0.5123674911660777
peckca99wc,1,ORL,0,0,0.0013020833333333148,0.3333322222259259,0.0184506357767924,0.4202088547546568,0.5
