playerID,year,tmID,stint,fouls_per_game,fouls_per_36,disqualifications,assist_to_turnover,turnovers_per_game,turnovers_per_36,assists_per_game,assists_per_36,positive_actions,positive_actions_per_game,in_team_fouls_pct,in_team_to_pct,in_team_ast_pct,in_team_dq_pct,is_kpsa
abrossv01w,2,MIN,0,2.6923076923076925,2.978723404255319,2,0.6162790697674418,3.269230769230769,3.617021276595745,2.0384615384615383,2.25531914893617,278,10.692307692307692,0.10057471264367816,0.1673228346456693,0.12100456621004566,0.25,0
abrossv01w,3,MIN,0,2.7037037037037037,3.2645962732919256,0,0.6451612903225806,3.4074074074074074,4.114285714285714,2.2222222222222223,2.6832298136645965,258,9.555555555555555,0.11812297734627832,0.17358490566037735,0.1284796573875803,0.0,0
abrossv01w,4,MIN,0,2.6333333333333333,3.590909090909091,0,0.9010989010989011,3.0,4.090909090909091,2.7333333333333334,3.7272727272727275,278,9.266666666666667,0.12440944881889764,0.16100178890876565,0.14113597246127366,0.0,0
abrossv01w,5,MIN,0,1.9090909090909092,3.272727272727273,0,1.0227272727272727,1.9545454545454546,3.3506493506493507,2.0454545454545454,3.5064935064935066,151,6.863636363636363,0.06354009077155824,0.07003257328990228,0.08538899430740038,0.0,0
abrossv01w,6,MIN,0,2.774193548387097,3.9845559845559846,0,0.7407407407407407,2.5806451612903225,3.7065637065637063,1.935483870967742,2.7799227799227797,221,7.129032258064516,0.1376,0.148975791433892,0.11278195488721804,0.0,0
abrossv01w,7,MIN,0,1.9411764705882353,3.2817679558011053,0,0.8709677419354839,1.7941176470588236,3.0331491712707184,1.588235294117647,2.685082872928177,195,5.735294117647059,0.10076335877862595,0.11487758945386065,0.10975609756097561,0.0,0
abrossv01w,8,MIN,0,2.5294117647058822,3.6725978647686834,0,1.2318840579710144,2.0,2.903914590747331,2.5,3.6298932384341636,283,8.323529411764707,0.12044817927170869,0.12099644128113879,0.1423785594639866,0.0,0
abrossv01w,9,CON,0,2.1666666666666665,4.373831775700935,0,1.0,1.8333333333333333,3.7009345794392523,2.0,4.037383177570093,40,6.666666666666667,0.020634920634920634,0.022540983606557378,0.019736842105263157,0.0,0
adamsjo01w,4,MIN,0,1.0,3.75,0,0.36363636363636365,1.0,3.75,0.4,1.5,32,3.2,0.015748031496062992,0.017889087656529516,0.0068846815834767644,0.0,0
aguilel01w,3,UTA,0,0.17857142857142858,1.2765957446808511,0,1.3333333333333333,0.39285714285714285,2.8085106382978724,0.5714285714285714,4.085106382978723,32,1.1428571428571428,0.0075075075075075074,0.021032504780114723,0.033402922755741124,0.0,0
ajavoma01w,9,HOU,0,2.5,5.066225165562914,1,1.0535714285714286,1.6176470588235294,3.278145695364238,1.7352941176470589,3.5165562913907285,156,4.588235294117647,0.11659807956104253,0.09166666666666666,0.1059245960502693,0.125,0
ajavoma01w,10,WAS,0,2.4705882352941178,5.151618398637138,1,0.7254901960784313,1.4705882352941178,3.066439522998296,1.088235294117647,2.269165247018739,142,4.176470588235294,0.11570247933884298,0.08223684210526316,0.08149779735682819,0.14285714285714285,0
aldrima01w,1,WAS,0,1.0344827586206897,3.9705882352941178,0,1.0,0.9310344827586207,3.5735294117647056,0.9655172413793104,3.705882352941176,65,2.2413793103448274,0.05016722408026756,0.05325443786982249,0.05363984674329502,0.0,0
aldrima01w,2,WAS,0,1.0,5.142857142857142,0,0.4,0.8,4.114285714285714,0.4,2.057142857142857,4,0.8,0.00929368029739777,0.008064516129032258,0.004705882352941176,0.0,0
alhalta01w,2,ORL,0,0.7692307692307693,2.8571428571428568,0,0.4827586206896552,1.0769230769230769,4.0,0.5384615384615384,2.0,63,2.423076923076923,0.031055900621118012,0.0525328330206379,0.03090507726269316,0.0,0
allench01w,9,SAC,0,0.8333333333333334,3.673469387755102,0,0.42857142857142855,1.0,4.408163265306122,0.5,2.204081632653061,10,1.6666666666666667,0.00723589001447178,0.010221465076660987,0.006329113924050633,0.0,0
amachma01w,2,NYL,0,1.0,24.0,0,0.0,0.5,12.0,0.0,0.0,2,1.0,0.0032414910858995136,0.00228310502283105,0.0,0.0,0
amachma01w,4,SEA,0,0.42857142857142855,2.2978723404255317,0,0.0,1.2857142857142858,6.8936170212765955,0.0,0.0,21,3.0,0.004651162790697674,0.019313304721030045,0.0,0.0,0
amachma01w,6,WAS,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
ambermo01w,3,SAC,0,1.0,18.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0029585798816568047,0.0,0.0,0.0,0
anderam01w,7,CON,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0
