playerID,year,tmID,stint,pos,won_mvp,GP,GS,minutes,points,rebounds,assists,steals,blocks,turnovers,PF,ppg,rpg,apg,spg,bpg,mpg,topg,fgMade,fgAttempted,fg_pct,ftMade,ftAttempted,ft_pct,threeMade,threeAttempted,three_pct,usage_rate,true_shooting,ast_to_ratio,per_approx,made_playoffs,PostGP,PostPoints,PostRebounds,PostAssists,playoff_ppg,playoff_rpg,playoff_apg,prev_ppg,prev_rpg,prev_apg,prev_per_approx,prev_fg_pct,prev_true_shooting,ppg_improvement,rpg_improvement,apg_improvement,per_approx_improvement,years_experience,won,lost,team_win_pct,playoff,rank,confID,o_pts,d_pts,team_point_diff,height,weight
abrossv01w,2,MIN,0,F,0,26,23,846,343,174,53,42,9,85,70,13.192307692307692,6.6923076923076925,2.0384615384615383,1.6153846153846154,0.34615384615384615,32.53846153846154,3.269230769230769,114,293,0.3890784982935154,96,132,0.7272727272727273,19,76,0.25,0.5154609929078015,0.4884926512475789,0.6235294117647059,12.346153846153847,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,0,12,20,0.375,N,6,WE,2077,2156,-79,74.0,169
abrossv01w,3,MIN,0,F,0,27,27,805,314,146,60,42,10,92,73,11.62962962962963,5.407407407407407,2.2222222222222223,1.5555555555555556,0.37037037037037035,29.814814814814813,3.4074074074074074,119,316,0.37658227848101267,56,116,0.4827586206896552,20,60,0.3333333333333333,0.5702360248447205,0.42774629468177855,0.6521739130434783,8.25925925925926,0,0,0,0,0,0.0,0.0,0.0,13.192307692307692,6.6923076923076925,2.0384615384615383,12.346153846153847,0.3890784982935154,0.4884926512475789,-1.5626780626780619,-1.284900284900285,0.183760683760684,-4.086894586894587,1,10,22,0.3125,N,8,WE,2003,2104,-101,74.0,169
abrossv01w,4,MIN,0,F,0,30,25,792,318,141,82,44,11,90,79,10.6,4.7,2.7333333333333334,1.4666666666666666,0.36666666666666664,26.4,3.0,112,285,0.3929824561403509,69,98,0.7040816326530612,25,82,0.3048780487804878,0.5279292929292929,0.4845788126295258,0.9111111111111111,10.133333333333333,1,3,23,5,4,7.666666666666667,1.6666666666666667,1.3333333333333333,11.62962962962963,5.407407407407407,2.2222222222222223,8.25925925925926,0.37658227848101267,0.42774629468177855,-1.0296296296296301,-0.7074074074074073,0.5111111111111111,1.8740740740740733,2,18,16,0.5294117647058824,Y,4,WE,2380,2370,10,74.0,169
abrossv01w,5,MIN,0,F,0,22,11,462,146,74,45,30,2,43,42,6.636363636363637,3.3636363636363638,2.0454545454545454,1.3636363636363635,0.09090909090909091,21.0,1.9545454545454546,49,139,0.35251798561151076,28,46,0.6086956521739131,20,53,0.37735849056603776,0.4377489177489178,0.458427530771163,1.0465116279069768,6.636363636363637,1,2,20,9,3,10.0,4.5,1.5,10.6,4.7,2.7333333333333334,10.133333333333333,0.3929824561403509,0.4845788126295258,-3.963636363636363,-1.3363636363636364,-0.687878787878788,-3.496969696969696,3,18,16,0.5294117647058824,Y,3,WE,2165,2190,-25,74.0,169
abrossv01w,6,MIN,0,F,0,31,31,777,304,107,60,48,6,80,86,9.806451612903226,3.4516129032258065,1.935483870967742,1.5483870967741935,0.1935483870967742,25.06451612903226,2.5806451612903225,109,276,0.39492753623188404,53,73,0.726027397260274,33,82,0.4024390243902439,0.4995109395109395,0.49331429313254577,0.75,8.32258064516129,0,0,0,0,0,0.0,0.0,0.0,6.636363636363637,3.3636363636363638,2.0454545454545454,6.636363636363637,0.35251798561151076,0.458427530771163,3.1700879765395893,0.08797653958944274,-0.10997067448680342,1.6862170087976533,4,14,20,0.4117647058823529,N,6,WE,2211,2288,-77,74.0,169
abrossv01w,7,MIN,0,F,0,34,2,724,263,106,54,34,1,61,66,7.735294117647059,3.1176470588235294,1.588235294117647,1.0,0.029411764705882353,21.294117647058822,1.7941176470588236,99,241,0.4107883817427386,41,62,0.6612903225806451,24,65,0.36923076923076925,0.45480662983425413,0.4901595348143731,0.8852459016393442,6.882352941176471,0,0,0,0,0,0.0,0.0,0.0,9.806451612903226,3.4516129032258065,1.935483870967742,8.32258064516129,0.39492753623188404,0.49331429313254577,-2.071157495256167,-0.33396584440227706,-0.347248576850095,-1.440227703984819,5,10,24,0.29411764705882354,N,7,WE,2523,2735,-212,74.0,169
abrossv01w,8,MIN,0,F,0,34,29,843,345,150,85,44,4,68,86,10.147058823529411,4.411764705882353,2.5,1.2941176470588236,0.11764705882352941,24.794117647058822,2.0,132,298,0.4429530201342282,36,43,0.8372093023255814,45,101,0.44554455445544555,0.4566073546856465,0.5443014009844755,1.25,11.382352941176471,0,0,0,0,0,0.0,0.0,0.0,7.735294117647059,3.1176470588235294,1.588235294117647,6.882352941176471,0.4107883817427386,0.4901595348143731,2.4117647058823524,1.2941176470588238,0.911764705882353,4.5,6,10,24,0.29411764705882354,N,6,WE,2636,2752,-116,74.0,169
abrossv01w,9,CON,0,F,0,6,0,107,34,20,12,8,0,11,13,5.666666666666667,3.3333333333333335,2.0,1.3333333333333333,0.0,17.833333333333332,1.8333333333333333,11,36,0.3055555555555556,10,12,0.8333333333333334,2,12,0.16666666666666666,0.4885981308411215,0.4118217054263566,1.0909090909090908,6.0,1,3,24,11,4,8.0,3.6666666666666665,1.3333333333333333,10.147058823529411,4.411764705882353,2.5,11.382352941176471,0.4429530201342282,0.5443014009844755,-4.480392156862744,-1.0784313725490198,-0.5,-5.382352941176471,7,21,13,0.6176470588235294,Y,2,EA,2690,2541,149,74.0,169
adamsjo01w,4,MIN,0,C,0,10,0,96,33,23,4,2,3,10,10,3.3,2.3,0.4,0.2,0.3,9.6,1.0,13,33,0.3939393939393939,2,2,1.0,5,12,0.4166666666666667,0.45708333333333334,0.48701298701298695,0.4,3.5,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,0,18,16,0.5294117647058824,Y,4,WE,2380,2370,10,75.0,180
aguilel01w,3,UTA,0,G,0,28,0,141,43,11,16,3,2,11,5,1.5357142857142858,0.39285714285714285,0.5714285714285714,0.10714285714285714,0.07142857142857142,5.035714285714286,0.39285714285714285,14,33,0.42424242424242425,4,7,0.5714285714285714,11,21,0.5238095238095238,0.33390070921985815,0.5958980044345898,1.4545454545454546,1.5,1,2,0,0,2,0.0,0.0,1.0,,,,,,,,,,,0,20,12,0.625,Y,3,WE,2418,2344,74,67.0,165
