playerID,year,tmID,stint,pos,won_roy,is_rookie,years_experience,GP,GS,minutes,points,rebounds,assists,steals,blocks,turnovers,PF,ppg,rpg,apg,spg,bpg,mpg,topg,fgMade,fgAttempted,fg_pct,ftMade,ftAttempted,ft_pct,threeMade,threeAttempted,three_pct,usage_rate,true_shooting,ast_to_ratio,per_approx,starting_pct,made_playoffs,PostGP,PostPoints,PostRebounds,PostAssists,playoff_ppg,won,lost,team_win_pct,playoff,rank,confID,o_pts,d_pts,team_point_diff,height,weight
anderke01w,1,WAS,0,G,0,1,0,30,9,434,75,46,75,25,3,47,53,2.5,1.5333333333333334,2.5,0.8333333333333334,0.1,14.466666666666667,1.5666666666666667,29,68,0.4264705882352941,14,18,0.7777777777777778,3,8,0.375,0.2832258064516129,0.49394099051633295,1.5957446808510638,4.466666666666667,0.3,1,2,2,5,5,1.0,14,18,0.4375,Y,4,EA,2176,2221,-45,67.0,125
andrame01w,1,CLE,0,F,0,1,0,32,18,797,265,95,75,41,10,65,91,8.28125,2.96875,2.34375,1.28125,0.3125,24.90625,2.03125,89,195,0.4564102564102564,60,80,0.75,27,75,0.36,0.3703889585947302,0.5755864465682016,1.1538461538461537,9.21875,0.5625,1,6,21,17,14,3.5,17,15,0.53125,Y,2,EA,2185,2122,63,71.0,165
anosini01w,9,MIN,0,C,0,1,0,34,34,920,314,231,45,75,43,42,125,9.235294117647058,6.794117647058823,1.3235294117647058,2.2058823529411766,1.2647058823529411,27.058823529411764,1.2352941176470589,99,226,0.43805309734513276,116,166,0.6987951807228916,0,1,0.0,0.3706956521739131,0.5250133761369716,1.0714285714285714,14.382352941176471,1.0,0,0,0,0,0,0.0,16,18,0.47058823529411764,N,7,WE,2767,2721,46,75.0,211
arcaija01w,1,HOU,0,G,0,1,0,32,32,977,268,119,60,42,3,53,66,8.375,3.71875,1.875,1.3125,0.09375,30.53125,1.65625,109,233,0.4678111587982833,41,49,0.8367346938775511,9,45,0.2,0.3148004094165814,0.5263984915147706,1.1320754716981132,9.59375,1.0,1,6,50,27,12,8.333333333333334,27,5,0.84375,Y,2,WE,2475,2066,409,71.0,147
askamma01w,1,MIA,0,C,0,1,0,32,32,869,251,231,29,17,21,49,95,7.84375,7.21875,0.90625,0.53125,0.65625,27.15625,1.53125,85,209,0.40669856459330145,80,117,0.6837606837606838,1,2,0.5,0.35613348676639817,0.4818028255528255,0.5918367346938775,10.59375,1.0,0,0,0,0,0,0.0,13,19,0.40625,N,6,EA,1831,2001,-170,77.0,198
atkinla01w,7,IND,0,G-F,0,1,0,33,1,417,99,76,22,18,5,34,31,3.0,2.303030303030303,0.6666666666666666,0.5454545454545454,0.15151515151515152,12.636363636363637,1.0303030303030303,38,87,0.4367816091954023,18,39,0.46153846153846156,5,17,0.29411764705882354,0.3313189448441247,0.4752304147465438,0.6470588235294118,3.515151515151515,0.030303030303030304,1,2,6,17,3,3.0,21,13,0.6176470588235294,Y,3,EA,2435,2316,119,72.0,172
atunrmo01w,9,SAS,0,G-F,0,1,0,33,0,348,71,48,23,16,13,26,21,2.1515151515151514,1.4545454545454546,0.696969696969697,0.48484848484848486,0.3939393939393939,10.545454545454545,0.7878787878787878,24,87,0.27586206896551724,11,16,0.6875,12,41,0.2926829268292683,0.3449425287356322,0.3774989366227137,0.8846153846153846,2.3333333333333335,0.0,1,8,10,7,4,1.25,24,10,0.7058823529411765,Y,1,WE,2546,2418,128,70.0,143
augusse01w,7,MIN,0,F,1,1,0,34,34,1124,744,128,50,21,18,71,58,21.88235294117647,3.764705882352941,1.4705882352941178,0.6176470588235294,0.5294117647058824,33.05882352941177,2.088235294117647,283,620,0.45645161290322583,148,165,0.896969696969697,30,85,0.35294117647058826,0.6793594306049823,0.5371065550101068,0.704225352112676,15.764705882352942,1.0,0,0,0,0,0,0.0,10,24,0.29411764705882354,N,7,WE,2523,2735,-212,72.0,179
aycocan01w,1,MIN,2,G-F,0,1,0,3,0,6,0,3,4,0,0,0,1,0.0,1.0,1.3333333333333333,0.0,0.0,2.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,4.0,2.3333333333333335,0.0,0,0,0,0,0,0.0,15,17,0.46875,N,6,WE,2193,2188,5,74.0,172
azizle01w,4,IND,0,F,0,1,0,7,0,44,10,9,1,0,4,3,5,1.4285714285714286,1.2857142857142858,0.14285714285714285,0.0,0.5714285714285714,6.285714285714286,0.42857142857142855,4,14,0.2857142857142857,2,4,0.5,0,0,0.0,0.42636363636363633,0.31725888324873097,0.3333333333333333,1.2857142857142858,0.0,0,0,0,0,0,0.0,16,18,0.47058823529411764,N,5,EA,2337,2321,16,75.0,177
azzije01w,1,UTA,0,G,0,1,0,15,15,559,144,41,92,12,5,28,43,9.6,2.7333333333333334,6.133333333333334,0.8,0.3333333333333333,37.266666666666666,1.8666666666666667,47,104,0.4519230769230769,40,43,0.9302325581395349,10,24,0.4166666666666667,0.2699821109123435,0.585746827204686,3.2857142857142856,13.733333333333333,1.0,0,0,0,0,0,0.0,18,14,0.5625,N,5,WE,2413,2407,6,68.0,143
badertr01w,1,CLE,0,G,0,1,0,25,0,201,47,11,21,17,1,18,16,1.88,0.44,0.84,0.68,0.04,8.04,0.72,17,48,0.3541666666666667,5,6,0.8333333333333334,8,24,0.3333333333333333,0.3414925373134328,0.4640600315955766,1.1666666666666667,1.88,0.0,1,5,8,1,1,1.6,17,15,0.53125,Y,2,EA,2185,2122,63,64.0,125
bakersh01w,7,NYL,0,G,0,1,0,34,16,614,251,56,35,46,2,50,69,7.382352941176471,1.6470588235294117,1.0294117647058822,1.3529411764705883,0.058823529411764705,18.058823529411764,1.4705882352941178,97,251,0.38645418326693226,48,56,0.8571428571428571,9,33,0.2727272727272727,0.5303583061889251,0.4553040197358874,0.7,5.235294117647059,0.47058823529411764,0,0,0,0,0,0.0,11,23,0.3235294117647059,N,5,EA,2372,2656,-284,68.0,125
balesal01w,8,IND,0,C,0,1,0,17,0,169,55,45,2,4,13,7,14,3.235294117647059,2.6470588235294117,0.11764705882352941,0.23529411764705882,0.7647058823529411,9.941176470588236,0.4117647058823529,24,42,0.5714285714285714,7,8,0.875,0,0,0.0,0.3107692307692308,0.6041300527240773,0.2857142857142857,5.470588235294118,0.0,1,4,0,2,1,0.0,21,13,0.6176470588235294,Y,2,EA,2480,2370,110,79.0,218
banchrh01w,1,SAC,0,C,0,1,0,9,0,21,6,3,1,0,0,2,3,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.0,0.0,2.3333333333333335,0.2222222222222222,2,7,0.2857142857142857,2,4,0.5,0,2,0.0,0.5123809523809524,0.3424657534246575,0.5,0.1111111111111111,0.0,0,0,0,0,0,0.0,21,11,0.65625,Y,3,WE,2343,2176,167,75.0,185
baranel01w,2,MIA,0,F,0,1,0,32,30,984,378,191,63,33,57,62,81,11.8125,5.96875,1.96875,1.03125,1.78125,30.75,1.9375,141,330,0.42727272727272725,66,71,0.9295774647887324,30,80,0.375,0.4301219512195122,0.5231978739895914,1.0161290322580645,14.5625,0.9375,1,3,44,18,7,14.666666666666666,20,12,0.625,Y,3,EA,1957,1898,59,77.0,182
barksla01w,2,POR,0,G,0,1,0,5,0,35,2,6,4,2,0,1,3,0.4,1.2,0.8,0.4,0.0,7.0,0.2,1,10,0.1,0,0,0.0,0,3,0.0,0.3142857142857143,0.1,4.0,0.8,0.0,0,0,0,0,0,0.0,11,21,0.34375,N,7,WE,2088,2202,-114,70.0,156
barnead01w,1,CLE,0,F,0,1,0,5,0,18,8,2,4,0,0,2,2,1.6,0.4,0.8,0.0,0.0,3.6,0.4,3,5,0.6,2,4,0.5,0,1,0.0,0.48666666666666664,0.591715976331361,2.0,1.6,0.0,1,4,2,1,2,0.5,17,15,0.53125,Y,2,EA,2185,2122,63,71.0,165
barnequ01w,1,SEA,0,C,0,1,0,31,23,705,209,84,33,19,33,62,103,6.741935483870968,2.7096774193548385,1.064516129032258,0.6129032258064516,1.064516129032258,22.741935483870968,2.0,89,213,0.41784037558685444,30,56,0.5357142857142857,1,9,0.1111111111111111,0.4250212765957447,0.4397407843797341,0.532258064516129,5.354838709677419,0.7419354838709677,0,0,0,0,0,0.0,6,26,0.1875,N,8,WE,1822,2171,-349,77.0,185
batkosu01w,6,SEA,0,C,0,1,0,29,0,461,199,94,26,17,24,32,85,6.862068965517241,3.2413793103448274,0.896551724137931,0.5862068965517241,0.8275862068965517,15.89655172413793,1.103448275862069,76,174,0.4367816091954023,45,58,0.7758620689655172,2,7,0.2857142857142857,0.5022125813449024,0.49869687249398553,0.8125,7.482758620689655,0.0,1,3,14,10,0,4.666666666666667,20,14,0.5882352941176471,Y,2,WE,2498,2407,91,76.0,203
batteja01w,6,MIN,0,F,0,1,0,8,0,46,0,5,3,0,1,3,4,0.0,0.625,0.375,0.0,0.125,5.75,0.375,0,6,0.0,0,0,0.0,0,0,0.0,0.1956521739130435,0.0,1.0,0.0,0.0,0,0,0,0,0,0.0,14,20,0.4117647058823529,N,6,WE,2211,2288,-77,73.0,163
battlas01w,6,SEA,0,F,0,1,0,2,0,8,2,2,0,0,0,1,1,1.0,1.0,0.0,0.0,0.0,4.0,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0.375,0.5,0.0,1.0,0.0,0,0,0,0,0,0.0,20,14,0.5882352941176471,Y,2,WE,2498,2407,91,72.0,170
bauerca01w,1,CHA,0,F-C,0,1,0,29,18,398,76,56,14,8,3,28,72,2.6206896551724137,1.9310344827586208,0.4827586206896552,0.27586206896551724,0.10344827586206896,13.724137931034482,0.9655172413793104,29,72,0.4027777777777778,18,21,0.8571428571428571,0,1,0.0,0.2744723618090452,0.46774987690792713,0.5,2.8620689655172415,0.6206896551724138,0,0,0,0,0,0.0,8,24,0.25,N,8,EA,2186,2429,-243,76.0,180
beardal01w,5,WAS,0,G-F,0,1,0,34,34,1025,446,143,91,69,34,80,98,13.117647058823529,4.205882352941177,2.676470588235294,2.0294117647058822,1.0,30.147058823529413,2.3529411764705883,159,380,0.41842105263157897,107,149,0.7181208053691275,21,56,0.375,0.5127414634146341,0.5004937606607416,1.1375,12.941176470588236,1.0,1,3,50,15,9,16.666666666666668,17,17,0.5,Y,4,EA,2325,2384,-59,71.0,160
beckki01w,9,SEA,0,G,0,1,0,17,0,93,17,12,6,4,2,4,7,1.0,0.7058823529411765,0.35294117647058826,0.23529411764705882,0.11764705882352941,5.470588235294118,0.23529411764705882,4,9,0.4444444444444444,5,6,0.8333333333333334,4,6,0.6666666666666666,0.1681720430107527,0.7302405498281787,1.5,1.8235294117647058,0.0,1,2,0,0,0,0.0,22,12,0.6470588235294118,Y,2,WE,2493,2406,87,68.0,125
bennije01w,6,IND,0,F,0,1,0,10,0,52,9,6,4,1,1,4,5,0.9,0.6,0.4,0.1,0.1,5.2,0.4,3,8,0.375,3,4,0.75,0,2,0.0,0.2646153846153846,0.4610655737704918,1.0,1.1,0.0,0,0,0,0,0,0.0,21,13,0.6176470588235294,Y,2,EA,2170,2133,37,75.0,185
berezva01w,9,SAS,0,C,0,1,0,2,0,6,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,2,0.0,0,0,0.0,0,1,0.0,0.3333333333333333,0.0,0.0,-1.0,0.0,0,0,0,0,0,0.0,24,10,0.7058823529411765,Y,1,WE,2546,2418,128,76.0,0
