playerID,year,tmID,stint,pos,won_mip,GP,GS,minutes,points,rebounds,assists,steals,blocks,turnovers,ppg,rpg,apg,spg,bpg,mpg,topg,fgMade,fgAttempted,fg_pct,ftMade,ftAttempted,ft_pct,threeMade,threeAttempted,three_pct,usage_rate,true_shooting,ast_to_ratio,prev_ppg,prev_rpg,prev_apg,prev_spg,prev_bpg,prev_mpg,prev_GP,prev_GS,prev_fg_pct,prev_ft_pct,prev_three_pct,ppg_improvement,rpg_improvement,apg_improvement,spg_improvement,bpg_improvement,mpg_improvement,ppg_pct_change,rpg_pct_change,apg_pct_change,mpg_pct_change,gs_improvement,GP_improvement,fg_pct_improvement,ft_pct_improvement,three_pct_improvement,usage_rate_improvement,true_shooting_improvement,won,lost,team_win_pct,playoff,rank,confID,made_playoffs,height,weight
abrossv01w,2,MIN,0,F,0,26,23,846,343,174,53,42,9,85,13.192307692307692,6.6923076923076925,2.0384615384615383,1.6153846153846154,0.34615384615384615,32.53846153846154,3.269230769230769,114,293,0.3890784982935154,96,132,0.7272727272727273,19,76,0.25,0.5154609929078015,0.4884926512475789,0.6235294117647059,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,12,20,0.375,N,6,WE,0,74.0,169
abrossv01w,3,MIN,0,F,0,27,27,805,314,146,60,42,10,92,11.62962962962963,5.407407407407407,2.2222222222222223,1.5555555555555556,0.37037037037037035,29.814814814814813,3.4074074074074074,119,316,0.37658227848101267,56,116,0.4827586206896552,20,60,0.3333333333333333,0.5702360248447205,0.42774629468177855,0.6521739130434783,13.192307692307692,6.6923076923076925,2.0384615384615383,1.6153846153846154,0.34615384615384615,32.53846153846154,26.0,23.0,0.3890784982935154,0.7272727272727273,0.25,-1.5626780626780619,-1.284900284900285,0.183760683760684,-0.05982905982905984,0.024216524216524205,-2.723646723646727,-11.84537306986286,-19.19965942954449,9.014675052410915,-8.370545486384739,4.0,1.0,-0.012496219812502707,-0.2445141065830721,0.08333333333333331,0.054775031936919016,-0.06074635656580035,10,22,0.3125,N,8,WE,0,74.0,169
abrossv01w,4,MIN,0,F,0,30,25,792,318,141,82,44,11,90,10.6,4.7,2.7333333333333334,1.4666666666666666,0.36666666666666664,26.4,3.0,112,285,0.3929824561403509,69,98,0.7040816326530612,25,82,0.3048780487804878,0.5279292929292929,0.4845788126295258,0.9111111111111111,11.62962962962963,5.407407407407407,2.2222222222222223,1.5555555555555556,0.37037037037037035,29.814814814814813,27.0,27.0,0.37658227848101267,0.4827586206896552,0.3333333333333333,-1.0296296296296301,-0.7074074074074073,0.5111111111111111,-0.08888888888888902,-0.003703703703703709,-3.4148148148148145,-8.853503184713379,-13.082191780821914,23.0,-11.453416149068323,-2.0,3.0,0.01640017765933821,0.22132301196340604,-0.028455284552845517,-0.04230673191542755,0.05683251794774724,18,16,0.5294117647058824,Y,4,WE,1,74.0,169
abrossv01w,5,MIN,0,F,0,22,11,462,146,74,45,30,2,43,6.636363636363637,3.3636363636363638,2.0454545454545454,1.3636363636363635,0.09090909090909091,21.0,1.9545454545454546,49,139,0.35251798561151076,28,46,0.6086956521739131,20,53,0.37735849056603776,0.4377489177489178,0.458427530771163,1.0465116279069768,10.6,4.7,2.7333333333333334,1.4666666666666666,0.36666666666666664,26.4,30.0,25.0,0.3929824561403509,0.7040816326530612,0.3048780487804878,-3.963636363636363,-1.3363636363636364,-0.687878787878788,-0.10303030303030303,-0.27575757575757576,-5.399999999999999,-37.39279588336192,-28.433268858800776,-25.166297117516635,-20.45454545454545,-14.0,-8.0,-0.04046447052884011,-0.09538598047914815,0.07248044178554996,-0.09018037518037514,-0.026151281858362796,18,16,0.5294117647058824,Y,3,WE,1,74.0,169
abrossv01w,6,MIN,0,F,0,31,31,777,304,107,60,48,6,80,9.806451612903226,3.4516129032258065,1.935483870967742,1.5483870967741935,0.1935483870967742,25.06451612903226,2.5806451612903225,109,276,0.39492753623188404,53,73,0.726027397260274,33,82,0.4024390243902439,0.4995109395109395,0.49331429313254577,0.75,6.636363636363637,3.3636363636363638,2.0454545454545454,1.3636363636363635,0.09090909090909091,21.0,22.0,11.0,0.35251798561151076,0.6086956521739131,0.37735849056603776,3.1700879765395893,0.08797653958944274,-0.10997067448680342,0.18475073313782997,0.10263929618768328,4.06451612903226,47.76844896155546,2.615518744551,-5.376344086021501,19.354838709677427,20.0,9.0,0.04240955062037327,0.1173317450863609,0.025080533824206164,0.061762021762021724,0.03488676236138277,14,20,0.4117647058823529,N,6,WE,0,74.0,169
abrossv01w,7,MIN,0,F,0,34,2,724,263,106,54,34,1,61,7.735294117647059,3.1176470588235294,1.588235294117647,1.0,0.029411764705882353,21.294117647058822,1.7941176470588236,99,241,0.4107883817427386,41,62,0.6612903225806451,24,65,0.36923076923076925,0.45480662983425413,0.4901595348143731,0.8852459016393442,9.806451612903226,3.4516129032258065,1.935483870967742,1.5483870967741935,0.1935483870967742,25.06451612903226,31.0,31.0,0.39492753623188404,0.726027397260274,0.4024390243902439,-2.071157495256167,-0.33396584440227706,-0.347248576850095,-0.5483870967741935,-0.16413662239089183,-3.7703984819734373,-21.1203560371517,-9.675645959318308,-17.941176470588243,-15.042773866303289,-29.0,3.0,0.015860845510854538,-0.06473707467962886,-0.033208255159474676,-0.04470430967668537,-0.00315475831817269,10,24,0.29411764705882354,N,7,WE,0,74.0,169
abrossv01w,8,MIN,0,F,0,34,29,843,345,150,85,44,4,68,10.147058823529411,4.411764705882353,2.5,1.2941176470588236,0.11764705882352941,24.794117647058822,2.0,132,298,0.4429530201342282,36,43,0.8372093023255814,45,101,0.44554455445544555,0.4566073546856465,0.5443014009844755,1.25,7.735294117647059,3.1176470588235294,1.588235294117647,1.0,0.029411764705882353,21.294117647058822,34.0,2.0,0.4107883817427386,0.6612903225806451,0.36923076923076925,2.4117647058823524,1.2941176470588238,0.911764705882353,0.2941176470588236,0.08823529411764705,3.5,31.178707224334595,41.50943396226416,57.40740740740742,16.43646408839779,27.0,0.0,0.03216463839148964,0.1759189797449363,0.0763137852246763,0.0018007248513923768,0.05414186617010247,10,24,0.29411764705882354,N,6,WE,0,74.0,169
abrossv01w,9,CON,0,F,0,6,0,107,34,20,12,8,0,11,5.666666666666667,3.3333333333333335,2.0,1.3333333333333333,0.0,17.833333333333332,1.8333333333333333,11,36,0.3055555555555556,10,12,0.8333333333333334,2,12,0.16666666666666666,0.4885981308411215,0.4118217054263566,1.0909090909090908,10.147058823529411,4.411764705882353,2.5,1.2941176470588236,0.11764705882352941,24.794117647058822,34.0,29.0,0.4429530201342282,0.8372093023255814,0.44554455445544555,-4.480392156862744,-1.0784313725490198,-0.5,0.039215686274509665,-0.11764705882352941,-6.96078431372549,-44.15458937198067,-24.444444444444446,-20.0,-28.074337682878607,-29.0,-28.0,-0.13739746457867263,-0.003875968992248069,-0.27887788778877887,0.03199077615547502,-0.13247969555811895,21,13,0.6176470588235294,Y,2,EA,1,74.0,169
adamsjo01w,4,MIN,0,C,0,10,0,96,33,23,4,2,3,10,3.3,2.3,0.4,0.2,0.3,9.6,1.0,13,33,0.3939393939393939,2,2,1.0,5,12,0.4166666666666667,0.45708333333333334,0.48701298701298695,0.4,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,18,16,0.5294117647058824,Y,4,WE,0,75.0,180
aguilel01w,3,UTA,0,G,0,28,0,141,43,11,16,3,2,11,1.5357142857142858,0.39285714285714285,0.5714285714285714,0.10714285714285714,0.07142857142857142,5.035714285714286,0.39285714285714285,14,33,0.42424242424242425,4,7,0.5714285714285714,11,21,0.5238095238095238,0.33390070921985815,0.5958980044345898,1.4545454545454546,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,20,12,0.625,Y,3,WE,1,67.0,165
